N,종목명,현재가,전일비,등락률,액면가,전일거래량,PER,PBR,PBR_weighted
63.0,두산밥캣,57700.0,"상승  1,400",+2.49%,500.0,148222.0,6.21,0.92,1.104
64.0,엘앤에프,156400.0,"상승  5,500",+3.64%,500.0,162358.0,-19.49,5.33,6.396
65.0,유한양행,68800.0,"하락  1,000",-1.43%,1000.0,445711.0,44.24,2.55,3.0599999999999996
66.0,맥쿼리인프라,12620.0,상승  20,+0.16%,0.0,577017.0,,,
67.0,현대차2우B,153600.0,"하락  2,100",-1.35%,5000.0,55357.0,3.54,0.42,0.504
68.0,에코프로머티,79400.0,"상승  1,400",+1.79%,500.0,384028.0,-555.24,7.03,8.436
69.0,LS,170100.0,"하락  6,900",-3.90%,5000.0,392925.0,13.78,0.99,1.188
70.0,한국타이어앤테크놀로지,43850.0,상승  250,+0.57%,500.0,354732.0,5.52,0.54,0.648
71.0,HD현대,68700.0,상승  200,+0.29%,1000.0,312401.0,13.38,0.66,0.792
72.0,한화솔루션,31450.0,하락  750,-2.33%,5000.0,3202679.0,-7.0,0.72,0.864
73.0,포스코DX,35350.0,상승  700,+2.02%,500.0,684183.0,58.43,11.57,13.884
74.0,SKC,139200.0,상승  700,+0.51%,5000.0,1060019.0,-23.82,3.26,3.9119999999999995
75.0,CJ제일제당,349500.0,"하락  4,000",-1.13%,5000.0,52840.0,12.15,0.75,0.8999999999999999
76.0,넷마블,60200.0,보합0,0.00%,100.0,382597.0,-23.69,0.98,1.176
77.0,KODEX KOFR금리액티브(합성),106945.0,상승  30,+0.03%,0.0,41898.0,,,
78.0,한국항공우주,51800.0,"하락  2,100",-3.90%,5000.0,1104505.0,21.95,3.18,3.816
79.0,코스모신소재,155000.0,"상승  1,400",+0.91%,1000.0,186023.0,171.84,10.42,12.504
80.0,LG디스플레이,9930.0,하락  120,-1.19%,5000.0,1031500.0,-1.73,0.63,0.756
81.0,롯데케미칼,113100.0,"상승  2,300",+2.08%,5000.0,171040.0,-17.61,0.31,0.372
82.0,금양,83300.0,"상승  4,500",+5.71%,500.0,429771.0,-65.85,26.39,31.668
83.0,두산로보틱스,72400.0,"하락  1,300",-1.76%,500.0,205903.0,-241.33,10.69,12.828
84.0,삼성카드,40500.0,상승  500,+1.25%,5000.0,52845.0,7.7,0.53,0.636
85.0,삼성E&A,23400.0,하락  350,-1.47%,5000.0,518972.0,6.21,1.24,1.488
86.0,미래에셋증권,7210.0,하락  70,-0.96%,5000.0,286380.0,16.77,0.39,0.46799999999999997
87.0,한진칼,63700.0,"상승  3,800",+6.34%,2500.0,89953.0,9.73,1.5,1.7999999999999998
88.0,LG유플러스,9650.0,하락  50,-0.52%,5000.0,632082.0,7.0,0.49,0.588
89.0,엔씨소프트,190300.0,"하락  2,000",-1.04%,500.0,63862.0,26.85,1.18,1.416
90.0,카카오페이,31000.0,"하락  1,100",-3.43%,500.0,542135.0,4428.57,2.22,2.664
91.0,코웨이,56400.0,상승  500,+0.89%,500.0,95363.0,8.79,1.53,1.8359999999999999
92.0,효성중공업,442000.0,"상승  10,500",+2.43%,5000.0,107953.0,26.92,3.82,4.584
93.0,금호석유,147400.0,"상승  3,000",+2.08%,5000.0,71303.0,11.31,0.66,0.792
94.0,현대오토에버,148000.0,상승  100,+0.07%,500.0,48145.0,30.74,2.59,3.1079999999999997
95.0,GS,43600.0,상승  200,+0.46%,5000.0,98781.0,3.26,0.3,0.36
96.0,CJ,137900.0,"상승  1,200",+0.88%,5000.0,127901.0,19.31,0.83,0.9959999999999999
97.0,NH투자증권,12280.0,하락  20,-0.16%,5000.0,501465.0,7.74,0.56,0.672
98.0,삼양식품,529000.0,"상승  1,000",+0.19%,5000.0,93900.0,23.38,6.32,7.584
99.0,SK바이오사이언스,51700.0,하락  700,-1.34%,500.0,184975.0,173.49,2.35,2.82
100.0,현대제철,29650.0,하락  150,-0.50%,5000.0,354762.0,14.97,0.2,0.24
101.0,현대로템,35950.0,하락  900,-2.44%,5000.0,1268491.0,19.77,2.27,2.7239999999999998
102.0,현대건설,33200.0,하락  150,-0.45%,5000.0,309312.0,6.66,0.45,0.54
103.0,현대차우,153400.0,"하락  1,400",-0.90%,5000.0,41923.0,3.54,0.42,0.504
104.0,TIGER KOFR금리액티브(합성),105470.0,상승  25,+0.02%,0.0,48602.0,,,
105.0,한국금융지주,65200.0,상승  700,+1.09%,5000.0,93894.0,5.68,0.45,0.54
106.0,한미약품,283500.0,"하락  3,000",-1.05%,2500.0,42648.0,22.97,3.57,4.284
107.0,오리온,91700.0,하락  400,-0.43%,500.0,115463.0,9.19,1.23,1.476
108.0,LIG넥스원,160200.0,하락  600,-0.37%,5000.0,297359.0,20.05,3.26,3.9119999999999995
109.0,TIGER 미국S&P500,18065.0,상승  45,+0.25%,0.0,1416596.0,,,
110.0,키움증권,133800.0,"상승  1,000",+0.75%,5000.0,62732.0,8.91,0.75,0.8999999999999999
111.0,두산,206000.0,"상승  2,000",+0.98%,5000.0,176906.0,-12.8,2.27,2.7239999999999998
112.0,TIGER 미국나스닥100,114120.0,하락  330,-0.29%,0.0,128785.0,,,
113.0,한화시스템,17450.0,상승  30,+0.17%,5000.0,1222148.0,15.36,1.52,1.8239999999999998
114.0,삼성증권,36100.0,하락  800,-2.17%,5000.0,454983.0,5.89,0.49,0.588
115.0,강원랜드,14910.0,상승  50,+0.34%,500.0,367419.0,9.6,0.84,1.008
116.0,아모레G,38250.0,하락  200,-0.52%,500.0,791501.0,34.06,1.03,1.236
117.0,대한전선,16710.0,하락  590,-3.41%,1000.0,6527281.0,28.42,2.18,2.616
118.0,쌍용C&E,7010.0,상승  10,+0.14%,100.0,159763.0,14.28,2.58,3.096
119.0,SK아이이테크놀로지,43150.0,하락  150,-0.35%,1000.0,327423.0,223.58,1.28,1.536
120.0,이수페타시스,48000.0,하락  500,-1.03%,1000.0,1843709.0,61.3,10.97,13.164
121.0,현대해상,32800.0,하락  250,-0.76%,500.0,497821.0,4.82,0.42,0.504
