N,종목명,현재가,전일비,등락률,액면가,전일거래량,PER,PBR,PBR_weighted
276.0,제이알글로벌리츠,4120.0,상승  10,+0.24%,1000.0,153855.0,16.68,0.98,1.176
277.0,아시아나항공,10910.0,상승  460,+4.40%,5000.0,114317.0,69.49,1.64,1.9679999999999997
278.0,넥센타이어,8290.0,상승  280,+3.50%,500.0,70815.0,6.53,0.49,0.588
279.0,TKG휴켐스,19750.0,상승  830,+4.39%,1000.0,43743.0,6.72,0.91,1.092
280.0,LG전자우,46950.0,상승  50,+0.11%,5000.0,61730.0,11.85,0.41,0.49199999999999994
281.0,동양생명,5000.0,상승  10,+0.20%,5000.0,107601.0,2.98,0.27,0.324
282.0,후성,7500.0,상승  190,+2.60%,500.0,505471.0,-12.76,2.39,2.868
283.0,DN오토모티브,79900.0,"상승  1,400",+1.78%,500.0,7340.0,2.91,0.57,0.6839999999999999
284.0,대한해운,2490.0,상승  335,+15.55%,500.0,6456953.0,7.11,0.45,0.54
285.0,SOL 종합채권(AA-이상)액티브,106425.0,하락  60,-0.06%,0.0,2.0,,,
286.0,해성디에스,46000.0,하락  100,-0.22%,5000.0,80406.0,10.2,1.51,1.8119999999999998
287.0,케이씨텍,37450.0,하락  550,-1.45%,500.0,182681.0,19.38,1.65,1.9799999999999998
288.0,명신산업,14830.0,상승  680,+4.81%,500.0,185014.0,5.04,1.35,1.62
289.0,TIGER 단기채권액티브,53930.0,상승  10,+0.02%,0.0,9542.0,,,
290.0,아이에스동서,25450.0,상승  850,+3.46%,500.0,40874.0,13.52,0.5,0.6
291.0,대신증권,15090.0,하락  190,-1.24%,5000.0,33949.0,9.8,0.34,0.40800000000000003
292.0,동원F&B,39700.0,하락  950,-2.34%,1000.0,96603.0,6.15,0.76,0.9119999999999999
293.0,경동나비엔,52300.0,"상승  1,500",+2.95%,1000.0,70222.0,9.11,1.24,1.488
294.0,쿠쿠홀딩스,21400.0,상승  50,+0.23%,100.0,19514.0,6.24,0.62,0.744
295.0,미원에스씨,151700.0,"상승  2,800",+1.88%,500.0,590.0,29.54,1.98,2.376
296.0,하나 CD금리투자 ETN,100790.0,보합0,0.00%,0.0,0.0,,,
297.0,TIGER 미국배당+7%프리미엄다우존스,10135.0,상승  170,+1.71%,0.0,1746279.0,,,
298.0,TIGER 단기통안채,107090.0,보합0,0.00%,0.0,4898.0,,,
299.0,유니드,110000.0,상승  900,+0.82%,5000.0,40219.0,19.75,0.79,0.948
300.0,KODEX 25-11 은행채(AA-이상)PLUS액티브,10115.0,상승  5,+0.05%,0.0,5018.0,,,
301.0,NHN,21950.0,보합0,0.00%,500.0,17067.0,-23.68,0.45,0.54
302.0,TIGER 200 IT,33760.0,하락  435,-1.27%,0.0,34358.0,,,
303.0,TIGER 25-10 회사채(A+이상)액티브,52795.0,하락  5,-0.01%,0.0,80757.0,,,
304.0,SK이터닉스,26300.0,하락  100,-0.38%,200.0,3348133.0,,3.35,4.02
305.0,KODEX 단기채권,109755.0,하락  5,0.00%,0.0,35332.0,,,
306.0,QV KIS CD금리투자 ETN,52210.0,상승  5,+0.01%,0.0,1.0,,,
307.0,한국단자,69400.0,상승  100,+0.14%,500.0,62677.0,8.51,0.74,0.888
308.0,태광산업,647000.0,"상승  4,000",+0.62%,5000.0,437.0,-53.7,0.14,0.168
309.0,현대지에프홀딩스,4570.0,상승  70,+1.56%,500.0,47627.0,0.5,0.26,0.312
310.0,보령,10280.0,하락  10,-0.10%,500.0,84110.0,13.51,1.2,1.44
311.0,한화투자증권,3245.0,상승  20,+0.62%,5000.0,916365.0,77.26,0.45,0.54
312.0,CJ CGV,5670.0,상승  140,+2.53%,500.0,286807.0,-5.19,1.31,1.572
313.0,KG스틸,6880.0,상승  90,+1.33%,5000.0,225165.0,3.73,0.37,0.444
314.0,TIGER 1년은행양도성예금증서액티브(합성),1012335.0,상승  105,+0.01%,0.0,26108.0,,,
315.0,KOSEF 200TR,45570.0,하락  30,-0.07%,0.0,114848.0,,,
316.0,SNT모티브,45800.0,하락  150,-0.33%,5000.0,17287.0,8.12,0.62,0.744
317.0,ACE 종합채권(AA-이상)KIS액티브,100495.0,상승  65,+0.06%,0.0,791.0,,,
318.0,JW중외제약,28700.0,보합0,0.00%,2500.0,65106.0,17.2,2.57,3.0839999999999996
319.0,신풍제약,12600.0,상승  340,+2.77%,500.0,142711.0,-13.15,2.42,2.904
320.0,케이카,13850.0,상승  130,+0.95%,500.0,63057.0,20.89,2.85,3.42
321.0,진에어,12760.0,상승  600,+4.93%,1000.0,46105.0,4.69,3.12,3.7439999999999998
322.0,애경산업,25200.0,"상승  1,100",+4.56%,1000.0,249502.0,14.47,1.68,2.016
323.0,영풍,360500.0,"하락  7,500",-2.04%,5000.0,3261.0,-8.72,0.16,0.192
324.0,NICE평가정보,11010.0,상승  330,+3.09%,500.0,24204.0,11.13,1.8,2.16
325.0,녹십자홀딩스,13950.0,상승  150,+1.09%,500.0,63593.0,-9.98,0.68,0.8160000000000001
326.0,KCC글라스,40400.0,상승  550,+1.38%,1000.0,24134.0,8.6,0.44,0.528
327.0,동아쏘시오홀딩스,100900.0,"하락  1,900",-1.85%,5000.0,3555.0,11.53,0.62,0.744
328.0,TIGER 2차전지소재Fn,6615.0,상승  115,+1.77%,0.0,1525076.0,,,
329.0,SNT다이내믹스,19180.0,상승  650,+3.51%,2500.0,49845.0,12.37,0.61,0.732
330.0,ARIRANG 200,36585.0,상승  15,+0.04%,0.0,465010.0,,,
331.0,DI동일,24950.0,상승  200,+0.81%,500.0,27930.0,113.93,0.83,0.9959999999999999
332.0,쏘카,19140.0,상승  30,+0.16%,100.0,16474.0,-12.99,3.21,3.852
333.0,현대홈쇼핑,52300.0,보합0,0.00%,5000.0,13765.0,3.99,0.28,0.336
334.0,애경케미칼,12840.0,상승  440,+3.55%,500.0,266464.0,37.76,0.86,1.032
335.0,신세계인터내셔날,17480.0,상승  220,+1.27%,1000.0,39423.0,14.55,0.74,0.888
336.0,드림텍,9030.0,상승  30,+0.33%,100.0,362126.0,36.56,1.51,1.8119999999999998
337.0,QV 코스피 변동성 매칭형 양매도 ETN,8865.0,보합0,0.00%,0.0,0.0,,,
338.0,카프로,3660.0,보합0,0.00%,500.0,0.0,-0.69,-0.93,-1.116
339.0,KODEX 1년은행양도성예금증서+액티브(합성),1004825.0,상승  300,+0.03%,0.0,19831.0,,,
340.0,삼성 레버리지 WTI원유 선물 ETN,1518.0,하락  43,-2.75%,0.0,322796.0,,,
341.0,F&F홀딩스,15600.0,"상승  1,100",+7.59%,500.0,5275.0,5.2,0.28,0.336
342.0,TIGER 차이나항셍테크,5755.0,상승  40,+0.70%,0.0,1780045.0,,,
343.0,KODEX 인버스,4285.0,보합0,0.00%,0.0,25196070.0,,,
344.0,KODEX 반도체,41150.0,하락  620,-1.48%,0.0,283673.0,,,
345.0,티웨이항공,2795.0,상승  115,+4.29%,500.0,324747.0,5.84,2.99,3.588
346.0,삼양홀딩스,69700.0,하락  100,-0.14%,5000.0,4020.0,3.4,0.27,0.324
347.0,KODEX 자동차,20505.0,하락  95,-0.46%,0.0,763865.0,,,
348.0,디아이,21000.0,"상승  2,870",+15.83%,500.0,1084780.0,636.36,3.69,4.428
349.0,자화전자,26200.0,하락  100,-0.38%,500.0,128582.0,220.17,1.37,1.6440000000000001
350.0,TIGER 미국달러단기채권액티브,12290.0,상승  70,+0.57%,0.0,105133.0,,,
351.0,아모레퍼시픽우,54700.0,"상승  1,100",+2.05%,500.0,23658.0,22.03,0.77,0.9239999999999999
352.0,풀무원,14890.0,하락  360,-2.36%,500.0,959741.0,30.45,2.03,2.4359999999999995
353.0,한화손해보험,4850.0,하락  75,-1.52%,5000.0,317601.0,3.04,0.23,0.276
354.0,교보증권,4960.0,상승  30,+0.61%,5000.0,21875.0,5.98,0.3,0.36
355.0,화승엔터프라이즈,9310.0,상승  480,+5.44%,500.0,181396.0,-19.04,1.1,1.32
356.0,DS단석,95800.0,하락  200,-0.21%,500.0,154428.0,12.04,2.0,2.4
357.0,한국카본,10790.0,상승  440,+4.25%,500.0,154092.0,-44.96,1.18,1.416
358.0,신한알파리츠,6310.0,하락  50,-0.79%,1000.0,46095.0,7.22,1.09,1.308
359.0,흥아해운,2310.0,상승  85,+3.82%,500.0,2500584.0,17.77,3.14,3.768
360.0,KBSTAR 단기통안채,111700.0,상승  5,0.00%,0.0,28516.0,,,
361.0,SOL 미국배당다우존스,10410.0,상승  170,+1.66%,0.0,446463.0,,,
362.0,고려제강,22000.0,하락  100,-0.45%,1000.0,39426.0,7.24,0.32,0.384
363.0,유안타증권,2735.0,상승  45,+1.67%,5000.0,70883.0,9.03,0.35,0.42
364.0,동아에스티,60400.0,상승  300,+0.50%,5000.0,15291.0,-102.37,0.82,0.9839999999999999
365.0,KODEX 미국빅테크10(H),37540.0,하락  395,-1.04%,0.0,72516.0,,,
366.0,백광산업,11740.0,상승  230,+2.00%,500.0,1999425.0,134.94,2.44,2.928
367.0,LX홀딩스,6890.0,상승  100,+1.47%,1000.0,47887.0,6.17,0.31,0.372
368.0,신한 레버리지 WTI원유 선물 ETN(H),1038.0,하락  34,-3.17%,0.0,384046.0,,,
369.0,지역난방공사,44800.0,하락  900,-1.97%,5000.0,12446.0,1.22,0.23,0.276
370.0,동국제강,10450.0,하락  120,-1.14%,5000.0,147650.0,2.52,0.3,0.36
371.0,삼양사,50200.0,상승  900,+1.83%,5000.0,22443.0,4.54,0.32,0.384
372.0,아세아,244000.0,"하락  11,500",-4.50%,5000.0,1344.0,5.34,0.38,0.45599999999999996
373.0,퍼시스,44700.0,상승  800,+1.82%,1000.0,6368.0,7.64,0.74,0.888
374.0,KB KIS CD금리투자 ETN,50400.0,상승  5,+0.01%,0.0,496451.0,,,
375.0,HANARO 200,36120.0,하락  5,-0.01%,0.0,141374.0,,,
376.0,SOL 초단기채권액티브,51300.0,상승  5,+0.01%,0.0,182520.0,,,
377.0,미래에셋증권2우B,3555.0,상승  20,+0.57%,5000.0,301730.0,8.27,0.19,0.22799999999999998
378.0,SPC삼립,57500.0,하락  500,-0.86%,5000.0,18265.0,9.74,1.12,1.344
379.0,KBSTAR 미국나스닥100,18985.0,하락  35,-0.18%,0.0,115144.0,,,
380.0,E1,71800.0,상승  400,+0.56%,5000.0,12186.0,4.7,0.27,0.324
381.0,KOSEF 국고채10년,110855.0,하락  80,-0.07%,0.0,26334.0,,,
382.0,ACE 200,36275.0,상승  20,+0.06%,0.0,24041.0,,,
383.0,프레스티지바이오파마,7950.0,하락  50,-0.62%,0.0,35839.0,-10.38,1.13,1.3559999999999999
384.0,HDC,7950.0,상승  130,+1.66%,5000.0,55475.0,4.14,0.16,0.192
385.0,삼화전기,71500.0,"상승  1,200",+1.71%,1000.0,536266.0,51.55,6.22,7.4639999999999995
386.0,쿠쿠홈시스,21050.0,하락  850,-3.88%,100.0,19545.0,4.25,0.58,0.696
387.0,TIGER 종합채권(AA-이상)액티브,52580.0,보합0,0.00%,0.0,3717.0,,,
388.0,TIGER 리츠부동산인프라,4570.0,상승  10,+0.22%,0.0,932680.0,,,
389.0,삼화콘덴서,43750.0,하락  850,-1.91%,1000.0,90581.0,20.39,1.81,2.172
390.0,엘브이엠씨홀딩스,2650.0,하락  50,-1.85%,0.0,850034.0,-10.52,1.11,1.332
391.0,서연이화,16710.0,하락  690,-3.97%,500.0,154315.0,2.95,0.48,0.576
392.0,한국철강,10540.0,상승  470,+4.67%,1000.0,423962.0,7.51,0.48,0.576
393.0,스틱인베스트먼트,10670.0,하락  190,-1.75%,500.0,162376.0,16.12,1.55,1.8599999999999999
394.0,KB스타리츠,4365.0,상승  10,+0.23%,500.0,79588.0,8.68,0.98,1.176
395.0,LF,15040.0,상승  120,+0.80%,5000.0,20878.0,4.93,0.28,0.336
396.0,신성이엔지,2130.0,하락  90,-4.05%,500.0,3938802.0,112.11,1.65,1.9799999999999998
397.0,STX중공업,15230.0,상승  50,+0.33%,2500.0,120239.0,11.35,1.89,2.268
398.0,현대퓨처넷,3915.0,하락  50,-1.26%,500.0,182881.0,-73.87,0.59,0.708
399.0,제주은행,13100.0,하락  560,-4.10%,5000.0,17947740.0,82.39,0.79,0.948
400.0,한섬,17930.0,하락  270,-1.48%,500.0,48256.0,6.95,0.28,0.336
401.0,바이오노트,4105.0,상승  10,+0.24%,500.0,36102.0,21.84,0.27,0.324
402.0,한일홀딩스,13490.0,상승  210,+1.58%,1000.0,9426.0,3.51,0.27,0.324
403.0,코람코라이프인프라리츠,4690.0,상승  30,+0.64%,500.0,379229.0,16.75,0.93,1.116
404.0,TIGER 미국30년국채프리미엄액티브(H),9270.0,상승  70,+0.76%,0.0,1363487.0,,,
405.0,TIGER 미국나스닥100커버드콜(합성),10370.0,보합0,0.00%,0.0,574066.0,,,
406.0,풍산홀딩스,28550.0,보합0,0.00%,5000.0,44084.0,5.75,0.39,0.46799999999999997
407.0,KODEX 미국반도체MV,22925.0,하락  15,-0.07%,0.0,741228.0,,,
408.0,CJ4우(전환),97300.0,상승  100,+0.10%,5000.0,8780.0,13.63,0.58,0.696
409.0,롯데이노베이트,27150.0,하락  850,-3.04%,5000.0,114733.0,10.57,1.01,1.212
410.0,세아홀딩스,102100.0,상승  800,+0.79%,5000.0,119.0,8.48,0.18,0.216
411.0,NICE,10870.0,하락  470,-4.14%,500.0,12889.0,63.2,0.54,0.648
412.0,현대그린푸드,12030.0,상승  160,+1.35%,500.0,42580.0,7.44,0.63,0.756
413.0,KODEX MSCI Korea TR,12115.0,하락  20,-0.16%,0.0,1403.0,,,
414.0,수산인더스트리,28150.0,보합0,0.00%,200.0,279224.0,9.09,0.81,0.972
415.0,KBSTAR 미국S&P500,15795.0,상승  45,+0.29%,0.0,208299.0,,,
416.0,엠씨넥스,22250.0,하락  350,-1.55%,500.0,58704.0,11.23,1.15,1.38
417.0,TIGER 미국30년국채스트립액티브(합성 H),41325.0,상승  250,+0.61%,0.0,117014.0,,,
418.0,유진투자증권,4125.0,하락  120,-2.83%,5000.0,382864.0,13.01,0.37,0.444
419.0,HD현대에너지솔루션,35650.0,상승  200,+0.56%,5000.0,742749.0,-15.16,1.13,1.3559999999999999
420.0,사조대림,43500.0,상승  100,+0.23%,5000.0,22699.0,3.8,0.55,0.66
421.0,맵스리얼티1,4285.0,상승  10,+0.23%,0.0,19078.0,,,
422.0,SOL AI반도체소부장,16220.0,하락  55,-0.34%,0.0,375168.0,,,
423.0,세진중공업,6990.0,하락  20,-0.29%,500.0,198218.0,15.13,2.19,2.6279999999999997
424.0,아세아시멘트,10320.0,상승  40,+0.39%,500.0,26258.0,3.94,0.37,0.444
425.0,가온전선,53500.0,"하락  2,000",-3.60%,5000.0,502019.0,19.99,1.11,1.332
426.0,부광약품,5740.0,상승  80,+1.41%,500.0,153904.0,-14.39,1.75,2.1
427.0,삼성FN리츠,5070.0,하락  10,-0.20%,500.0,9657.0,390.0,1.06,1.272
428.0,유나이티드제약,23800.0,보합0,0.00%,500.0,12331.0,7.3,0.89,1.068
429.0,LG생활건강우,184700.0,"상승  8,200",+4.65%,5000.0,7273.0,20.72,0.57,0.6839999999999999
430.0,KODEX 코스닥150선물인버스,3665.0,하락  35,-0.95%,0.0,33659440.0,,,
431.0,KODEX 국고채3년,59600.0,보합0,0.00%,0.0,2937.0,,,
432.0,한국쉘석유,294500.0,"하락  4,500",-1.51%,5000.0,3115.0,10.01,3.67,4.404
433.0,일동제약,13640.0,하락  760,-5.28%,1000.0,64005.0,-5.39,2.27,2.7239999999999998
434.0,SGC에너지,26550.0,상승  50,+0.19%,5000.0,33262.0,6.86,0.53,0.636
435.0,KBSTAR KIS국고채30년Enhanced,69330.0,하락  210,-0.30%,0.0,29399.0,,,
436.0,신도리코,37800.0,상승  150,+0.40%,5000.0,5532.0,6.86,0.32,0.384
437.0,대신증권우,14530.0,하락  70,-0.48%,5000.0,24690.0,9.44,0.32,0.384
438.0,락앤락,8700.0,하락  10,-0.11%,500.0,11023.0,-9.36,0.74,0.888
439.0,영진약품,2050.0,하락  10,-0.49%,500.0,77997.0,1025.0,4.0,4.8
440.0,LX하우시스,41750.0,"하락  1,000",-2.34%,5000.0,23348.0,5.54,0.49,0.588
441.0,한국자산신탁,3000.0,상승  10,+0.33%,500.0,99501.0,2.87,0.35,0.42
442.0,히어로즈 머니마켓액티브,50560.0,상승  5,+0.01%,0.0,51655.0,,,
443.0,ACE 국고채10년,87080.0,하락  100,-0.11%,0.0,30256.0,,,
444.0,아세아제지,8130.0,하락  30,-0.37%,1000.0,87425.0,4.8,0.4,0.48
445.0,화신,10420.0,하락  40,-0.38%,500.0,108977.0,4.89,0.76,0.9119999999999999
446.0,KODEX 코스피,26815.0,상승  25,+0.09%,0.0,130133.0,,,
447.0,세아제강,128100.0,"하락  1,300",-1.00%,5000.0,5874.0,2.36,0.36,0.432
448.0,삼천리,89500.0,하락  100,-0.11%,5000.0,14249.0,3.21,0.19,0.22799999999999998
449.0,현대차3우B,152400.0,"하락  1,100",-0.72%,5000.0,10460.0,3.52,0.42,0.504
450.0,코리아써키트,15320.0,하락  80,-0.52%,500.0,85611.0,-13.01,1.0,1.2
451.0,ACE 글로벌반도체TOP4 Plus SOLACTIVE,24255.0,하락  145,-0.59%,0.0,408287.0,,,
452.0,삼성SDI우,223000.0,"상승  1,000",+0.45%,5000.0,1763.0,8.52,0.79,0.948
453.0,LS네트웍스,4560.0,상승  15,+0.33%,5000.0,539516.0,-84.44,0.65,0.78
454.0,SNT홀딩스,22000.0,상승  700,+3.29%,500.0,10265.0,4.14,0.29,0.348
455.0,파미셀,5970.0,상승  120,+2.05%,500.0,965101.0,238.8,4.53,5.436
456.0,잇츠한불,16300.0,하락  70,-0.43%,500.0,156296.0,34.9,0.77,0.9239999999999999
457.0,한전산업,10950.0,상승  30,+0.27%,500.0,2345801.0,19.59,3.57,4.284
458.0,남양유업,495000.0,"하락  1,000",-0.20%,5000.0,848.0,-7.88,0.65,0.78
459.0,한화리츠,5040.0,상승  10,+0.20%,500.0,23605.0,,1.06,1.272
460.0,SBS,19140.0,하락  70,-0.36%,5000.0,56659.0,6.59,0.4,0.48
461.0,이아이디,1392.0,보합0,0.00%,200.0,0.0,-3.49,1.67,2.004
462.0,KODEX 미국달러SOFR금리액티브(합성),11325.0,상승  65,+0.58%,0.0,65994.0,,,
463.0,콜마홀딩스,9570.0,상승  230,+2.46%,500.0,211676.0,,0.56,0.672
464.0,KODEX 선진국MSCI World,27400.0,상승  230,+0.85%,0.0,21223.0,,,
465.0,HL홀딩스,34350.0,보합0,0.00%,5000.0,3935.0,4.57,0.31,0.372
466.0,남해화학,7000.0,상승  40,+0.57%,1000.0,81040.0,14.03,0.64,0.768
467.0,삼부토건,1636.0,하락  89,-5.16%,1000.0,4277131.0,-2.5,3.72,4.464
468.0,광동제약,6590.0,상승  20,+0.30%,1000.0,86616.0,8.41,0.47,0.564
469.0,두산우,86200.0,"상승  4,400",+5.38%,5000.0,24965.0,-5.36,0.95,1.14
470.0,KG케미칼,5020.0,하락  110,-2.14%,1000.0,629491.0,4.15,0.38,0.45599999999999996
471.0,BGF,3570.0,하락  30,-0.83%,1000.0,55735.0,4.55,0.21,0.252
472.0,삼성 인버스 2X 천연가스 선물 ETN C,68180.0,"상승  4,810",+7.59%,0.0,144397.0,,,
473.0,조광피혁,50900.0,하락  900,-1.74%,5000.0,2218.0,32.01,0.39,0.46799999999999997
474.0,대상홀딩스,9340.0,상승  350,+3.89%,1000.0,88107.0,26.38,0.47,0.564
475.0,KODEX 단기변동금리부채권액티브,110765.0,상승  5,0.00%,0.0,100.0,,,
476.0,한화3우B,14970.0,상승  160,+1.08%,5000.0,31611.0,-9.23,0.14,0.168
477.0,TIGER 글로벌자율주행&전기차SOLACTIVE,11440.0,상승  260,+2.33%,0.0,52606.0,,,
478.0,ACE 미국배당다우존스,11500.0,상승  190,+1.68%,0.0,349676.0,,,
479.0,KODEX 25-11 회사채(A+이상)액티브,10450.0,하락  10,-0.10%,0.0,11890.0,,,
480.0,미래에셋 레버리지 원유선물혼합 ETN(H),8150.0,하락  270,-3.21%,0.0,2886.0,,,
481.0,TIGER 인도니프티50,12725.0,상승  95,+0.75%,0.0,292695.0,,,
482.0,KODEX 인도Nifty50,13000.0,상승  60,+0.46%,0.0,620894.0,,,
483.0,농심홀딩스,71000.0,상승  300,+0.42%,5000.0,7097.0,3.97,0.29,0.348
484.0,KBSTAR CD금리액티브(합성),100700.0,상승  10,+0.01%,0.0,6321.0,,,
485.0,TIGER 중장기국채,49990.0,하락  45,-0.09%,0.0,1493.0,,,
486.0,KISCO홀딩스,20100.0,하락  600,-2.90%,1000.0,4510.0,4.07,0.23,0.276
487.0,대원강업,5230.0,상승  90,+1.75%,500.0,65823.0,9.47,0.63,0.756
488.0,지누스,15610.0,상승  430,+2.83%,500.0,165668.0,-23.8,0.5,0.6
489.0,대원제약,14530.0,상승  120,+0.83%,500.0,58041.0,13.6,1.14,1.3679999999999999
490.0,국도화학,35600.0,하락  100,-0.28%,5000.0,9727.0,-83.57,0.36,0.432
491.0,KODEX 미국30년국채울트라선물(H),7690.0,상승  55,+0.72%,0.0,171607.0,,,
492.0,에어부산,2720.0,상승  40,+1.49%,1000.0,97880.0,2.85,1.53,1.8359999999999999
493.0,ARIRANG 고배당주,13900.0,상승  200,+1.46%,0.0,195924.0,,,
494.0,에이프로젠,1181.0,하락  6,-0.51%,500.0,3347680.0,-5.11,2.51,3.0119999999999996
495.0,현대비앤지스틸,20850.0,하락  150,-0.71%,5000.0,432824.0,-24.88,0.64,0.768
496.0,한투 KIS CD금리투자 ETN,52200.0,보합0,0.00%,0.0,0.0,,,
497.0,송원산업,13040.0,하락  10,-0.08%,500.0,28272.0,10.13,0.44,0.528
498.0,1Q 머니마켓액티브,50385.0,상승  10,+0.02%,0.0,65271.0,,,
499.0,KBSTAR 비메모리반도체액티브,13840.0,상승  10,+0.07%,0.0,331842.0,,,
500.0,TIGER 2차전지TOP10,11300.0,상승  130,+1.16%,0.0,3460929.0,,,
501.0,코오롱ENP,8100.0,상승  360,+4.65%,1000.0,429983.0,9.19,1.08,1.296
502.0,대한제강,13120.0,하락  40,-0.30%,1000.0,15288.0,3.66,0.31,0.372
503.0,STX엔진,13290.0,상승  140,+1.06%,2500.0,84572.0,32.57,1.41,1.692
504.0,백산,13570.0,하락  310,-2.23%,500.0,91784.0,6.36,1.38,1.656
505.0,이리츠코크렙,4815.0,상승  65,+1.37%,500.0,111064.0,16.38,1.34,1.608
506.0,TIGER 미국테크TOP10+10%프리미엄,11870.0,하락  85,-0.71%,0.0,650896.0,,,
507.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),6700.0,상승  65,+0.98%,0.0,89791.0,,,
508.0,TIGER 일본니케이225,20700.0,상승  435,+2.15%,0.0,175726.0,,,
509.0,KOSEF 200,35945.0,하락  10,-0.03%,0.0,80830.0,,,
510.0,알루코,3100.0,보합0,0.00%,500.0,532354.0,14.98,1.02,1.224
511.0,KEC,1476.0,하락  14,-0.94%,500.0,5773465.0,-7.49,0.86,1.032
512.0,아이마켓코리아,8700.0,상승  20,+0.23%,500.0,24448.0,17.51,0.79,0.948
513.0,KODEX 은행,8070.0,상승  130,+1.64%,0.0,451778.0,,,
514.0,한일현대시멘트,14980.0,상승  40,+0.27%,5000.0,4591.0,7.44,0.76,0.9119999999999999
515.0,한진,19270.0,상승  110,+0.57%,5000.0,61520.0,12.23,0.2,0.24
516.0,케이씨,21250.0,하락  300,-1.39%,500.0,41425.0,6.09,0.32,0.384
517.0,대동,11200.0,하락  10,-0.09%,1000.0,172943.0,2240.0,0.58,0.696
518.0,KODEX 국고채30년액티브,104080.0,하락  225,-0.22%,0.0,6710.0,,,
519.0,KBSTAR 미국30년국채엔화노출(합성 H),8515.0,상승  90,+1.07%,0.0,438310.0,,,
520.0,TIGER 미국달러SOFR금리액티브(합성),54620.0,상승  275,+0.51%,0.0,14350.0,,,
521.0,에이블씨엔씨,10980.0,상승  760,+7.44%,500.0,1499415.0,44.27,3.28,3.9359999999999995
522.0,CR홀딩스,6060.0,하락  70,-1.14%,500.0,18900.0,90.45,0.43,0.516
523.0,삼양패키징,17940.0,보합0,0.00%,5000.0,11557.0,10.67,0.77,0.9239999999999999
524.0,종근당홀딩스,56500.0,상승  500,+0.89%,2500.0,6037.0,6.49,0.48,0.576
525.0,ACE 베트남VN30(합성),19680.0,상승  205,+1.05%,0.0,40130.0,,,
526.0,서울가스,56100.0,상승  100,+0.18%,5000.0,9268.0,10.38,0.2,0.24
527.0,모토닉,8490.0,상승  60,+0.71%,500.0,18567.0,9.61,0.41,0.49199999999999994
528.0,KODEX ESG종합채권(A-이상)액티브,109385.0,상승  180,+0.16%,0.0,0.0,,,
529.0,조일알미늄,2210.0,하락  20,-0.90%,500.0,1641325.0,96.09,1.44,1.728
530.0,이월드,1972.0,상승  21,+1.08%,1000.0,317761.0,-26.29,1.19,1.428
531.0,ACE 테슬라밸류체인액티브,10295.0,상승  165,+1.63%,0.0,220615.0,,,
532.0,대한제당,3090.0,상승  10,+0.32%,500.0,768396.0,10.3,0.54,0.648
533.0,현대차증권,8680.0,하락  20,-0.23%,5000.0,9824.0,6.29,0.26,0.312
534.0,DB,1368.0,하락  8,-0.58%,500.0,291272.0,31.09,0.86,1.032
535.0,삼성 레버리지 천연가스 선물 ETN C,6840.0,하락  545,-7.38%,0.0,1026642.0,,,
536.0,한국금융지주우,46350.0,상승  150,+0.32%,5000.0,11370.0,4.04,0.32,0.384
537.0,KBSTAR 200TR,19730.0,보합0,0.00%,0.0,12658.0,,,
538.0,제이에스코퍼레이션,20300.0,"상승  3,450",+20.47%,100.0,74720.0,5.46,0.85,1.02
539.0,포스코스틸리온,45000.0,상승  400,+0.90%,5000.0,15506.0,9.19,0.75,0.8999999999999999
540.0,대원전선,3595.0,하락  115,-3.10%,500.0,10749149.0,25.68,2.61,3.1319999999999997
541.0,환인제약,14480.0,상승  30,+0.21%,500.0,23574.0,8.49,0.61,0.732
542.0,SK증권,569.0,상승  3,+0.53%,500.0,765997.0,113.8,0.37,0.444
543.0,삼성 인버스 2X 코스닥150 선물 ETN,6720.0,하락  165,-2.40%,0.0,4223062.0,,,
544.0,교촌에프앤비,10710.0,하락  50,-0.46%,500.0,523099.0,14.92,1.41,1.692
545.0,신성통상,1860.0,상승  41,+2.25%,500.0,252049.0,4.4,0.59,0.708
546.0,예스코홀딩스,44500.0,하락  550,-1.22%,5000.0,12141.0,17.53,0.4,0.48
547.0,HJ중공업,3205.0,상승  15,+0.47%,5000.0,19370.0,-3.53,0.75,0.8999999999999999
548.0,삼익THK,12700.0,하락  100,-0.78%,500.0,72812.0,244.23,1.31,1.572
549.0,이연제약,14320.0,하락  30,-0.21%,500.0,17533.0,139.03,1.07,1.284
550.0,삼진제약,19140.0,하락  60,-0.31%,1000.0,16265.0,20.08,0.95,1.14
551.0,도화엔지니어링,7850.0,하락  50,-0.63%,500.0,821981.0,12.38,0.98,1.176
552.0,현대코퍼레이션,19980.0,하락  120,-0.60%,5000.0,115669.0,2.9,0.39,0.46799999999999997
553.0,TIGER 은행고배당플러스TOP10,13145.0,상승  200,+1.54%,0.0,178480.0,,,
554.0,이지스밸류리츠,5120.0,하락  10,-0.19%,1000.0,95672.0,8.94,0.62,0.744
555.0,ARIRANG 국고채10년액티브,51770.0,하락  45,-0.09%,0.0,11.0,,,
556.0,한솔제지,11010.0,보합0,0.00%,5000.0,56390.0,7.81,0.35,0.42
557.0,TIGER 반도체,42935.0,하락  355,-0.82%,0.0,223780.0,,,
558.0,SIMPAC,3965.0,하락  70,-1.73%,500.0,70754.0,-14.01,0.38,0.45599999999999996
